,Date,xlb,xle,xlf,xli,xlk,xlp,xlu,xlv,xly
344,2014-02-06,42.877679,80.340174,20.511644,48.204373,33.709192,39.051885,36.726808,54.265708,62.035584
343,2014-02-07,43.470906,81.209867,20.765235999999998,49.040007,34.166692,39.417846999999995,36.926258000000004,55.196254,62.799878
342,2014-02-10,43.684855,80.813671,20.784741,48.729074,34.23483,39.571936,37.201683,55.656631999999995,62.760689
341,2014-02-11,44.190557,81.866968,20.99932,49.273205,34.653397,40.034202,37.553093,56.410867,63.221222
340,2014-02-12,44.112759000000004,81.673699,20.99932,49.554989,34.789678,39.860851000000004,37.600578999999996,56.410867,63.280018999999996
339,2014-02-13,44.492034000000004,82.06023,21.077348,49.593857,35.042763,40.063092,38.008972,56.812472,63.47599
338,2014-02-14,44.851859999999995,83.13285,21.106607,49.914505,35.110901,40.294227,38.255905,57.018172,63.858139
337,2014-02-18,44.881037,83.509716,21.145622,49.875640999999995,35.13037,40.063092,38.388869,57.54711700000001,63.936531
336,2014-02-19,44.569835999999995,83.616012,20.853016,49.409238,35.013560999999996,39.976417,38.170427000000004,57.194487,63.417201
335,2014-02-20,45.036638,84.166816,20.911538,49.875640999999995,35.13037,40.149767,38.464851,57.713634,63.76015400000001
334,2014-02-21,44.919934999999995,83.500058,20.950551,49.933939,34.994093,40.063092,38.512338,57.605889000000005,63.887533999999995
333,2014-02-24,44.764334000000005,84.756275,21.106607,50.312888,35.13037,40.207552,38.417364,58.036879000000006,64.152103
332,2014-02-25,44.929662,84.717621,20.979813,50.147706,35.03303,40.361641,38.369878,57.889949,64.60284300000001
331,2014-02-26,45.270036,84.18614699999999,20.950551,50.196289,35.062231,40.323116999999996,38.246409,57.889949,64.965397
330,2014-02-27,45.629862,84.273113,21.057841,50.487788,35.344521,40.5061,38.151432,58.222988,65.229959
329,2014-02-28,45.785466,84.698298,21.165129999999998,50.584957,35.383455,40.785383,38.417364,58.222988,65.49452099999999
328,2014-03-03,45.678490000000004,84.157151,20.99932,50.244871999999994,35.003825,40.563881,38.037463,57.791998,64.877205
327,2014-03-04,46.398140000000005,85.075163,21.428473,50.973621,35.461329,41.112821999999994,38.312891,58.889065,65.690499
326,2014-03-05,46.505115999999994,84.28277800000001,21.652805999999998,51.041638,35.509999,40.977995,38.056459000000004,58.742139,65.964862
325,2014-03-06,46.680167,84.891559,21.72108,51.333141,35.558669,40.968365999999996,37.866508,58.379712,66.131438
324,2014-03-07,46.475941999999996,85.05583299999999,21.818614999999998,51.498321999999995,35.451593,41.083932,37.980481,58.232785,66.033452
323,2014-03-10,46.437041,85.191125,21.828367,51.274839,35.393190999999995,41.122455,37.885503,58.477666000000006,65.857075
322,2014-03-11,45.960513,84.224801,21.682064999999998,50.905605,35.315315999999996,41.103193,37.78103,58.360124,65.474926
321,2014-03-12,45.941066,84.234459,21.643051999999997,50.808440000000004,35.373721999999994,41.189869,38.255905,58.350327,65.376941
320,2014-03-13,45.610415,83.393762,21.399214,50.089405,34.89675,40.987628,38.654802000000004,57.556909999999995,64.583248
319,2014-03-14,45.610415,83.471062,21.262664,49.895071,34.682602,41.006889,38.835253,57.243462,64.524451
318,2014-03-17,45.979964,83.91557,21.486995999999998,50.507222,35.091432,41.247653,39.091685999999996,57.801791,64.955596
317,2014-03-18,46.242540000000005,84.62099,21.594282999999997,50.779287,35.548936,41.334325,39.034698999999996,58.418893000000004,65.23976
316,2014-03-19,45.83409,83.98321999999999,21.584529,50.25459,35.402923,41.016518,38.417364,58.242579000000006,64.808614
315,2014-03-20,46.446765,84.311767,21.925902999999998,50.400338,35.675481,41.160978,38.502842,58.242579000000006,64.97519100000001
314,2014-03-21,46.251489,84.54190600000001,21.928839,50.405221000000004,35.496581,41.137747999999995,38.794927,57.185949,64.560389
313,2014-03-24,45.890227,84.367112,21.919048999999998,50.239315999999995,35.46725,41.099028999999994,38.90027,56.547053000000005,63.911636
312,2014-03-25,46.144086,85.124558,21.899472,50.697990000000004,35.682323,41.399094,39.063075,57.048342000000005,63.528285
311,2014-03-26,45.480145,84.726413,21.674308,50.180761,35.252181,41.302296999999996,38.90027,57.068000000000005,63.017153
310,2014-03-27,45.353214,85.41587700000001,21.556832999999997,50.112448,35.125093,41.27326,39.216301,56.94022,62.712436
309,2014-03-28,45.665658,86.484059,21.64494,50.483290999999994,35.261956,41.379735,39.273758,56.723978,63.184253000000005
